Billing Name,Site Address,Site City,Zip Code,SA Status,Activity,Descriptor,Account #,Meter #,NEM?,SA ID,Sp Id,Prsn Id,NAICS Code,Year of Bill End Date,Bill End Date,Rate,Service Provider,Tot Bill Amt (PG&E),Days,Charges/(kWh or Therm usage),PG&E Revenue Amount ($),ESP Total Revenue Amount ($),Tax Amount ($),Total Bill Amount ($),On Peak (kWh),Partial Peak (kWh),Off Peak Usage (kWh),Super Off Peak (kWh),Total Usage (kWh),Total Usage (Therms),Hours,Max. Max Demand (kW),On Peak (kW),Partial Peak (kW),Off Peak (kW),Super Off Peak (kW)
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,5/11/2025,HB19S,CCA (Comm Choice Aggregation),$277.90,31,$0.00,$164.71,"$9,693.76",$113.19,"$9,971.66","26,176",0,"56,206","29,686","112,068",0,411,272,254,0,272,266
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,4/10/2025,HB19S,CCA (Comm Choice Aggregation),-$603.55,29,-$0.01,-$696.71,"$7,904.03",$93.16,"$7,300.48","21,009",0,"46,607","24,617","92,234",0,455,203,200,0,200,203
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,3/12/2025,HB19S,CCA (Comm Choice Aggregation),"-$1,173.76",30,-$0.01,"-$1,270.96","$9,330.48",$97.20,"$8,156.72","21,773",0,"64,165","10,295","96,232",0,472,204,193,0,204,198
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,2/10/2025,HB19S,CCA (Comm Choice Aggregation),-$695.07,29,-$0.01,-$809.71,"$12,036.61",$114.64,"$11,341.54","26,924",0,"86,585",0,"113,509",0,438,259,242,0,259,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,1/12/2025,HB19S,CCA (Comm Choice Aggregation),"-$1,157.71",32,-$0.01,"-$1,293.49","$14,801.25",$135.78,"$13,643.54","32,042",0,"103,232",0,"135,275",0,510,265,250,0,265,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,12/11/2024,HB19S,CCA (Comm Choice Aggregation),"$1,277.97",30,$0.01,"$1,166.03","$12,325.54",$111.94,"$13,603.51","26,458",0,"85,486",0,"111,944",0,444,252,239,0,252,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,11/11/2024,HB19S,CCA (Comm Choice Aggregation),-$268.25,32,$0.00,-$411.19,"$15,605.90",$142.94,"$15,337.65","32,630",0,"110,306",0,"142,936",0,520,275,272,0,275,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,10/10/2024,HB19S,CCA (Comm Choice Aggregation),"$7,178.92",29,$0.05,"$7,037.70","$20,819.27",$141.22,"$27,998.19","33,524","15,571","92,121",0,"141,216",0,439,322,322,293,318,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,9/11/2024,HB19S,CCA (Comm Choice Aggregation),"$9,642.72",30,$0.06,"$9,491.86","$25,063.94",$150.86,"$34,706.66","36,102","26,699","88,056",0,"150,857",0,493,306,302,306,302,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,8/12/2024,HB19S,CCA (Comm Choice Aggregation),"$10,469.35",31,$0.06,"$10,306.96","$26,807.72",$162.39,"$37,277.07","38,945","28,700","94,740",0,"162,385",0,489,332,317,332,331,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,7/12/2024,HB19S,CCA (Comm Choice Aggregation),"$9,811.61",31,$0.06,"$9,633.33","$31,073.84",$178.28,"$40,885.45","39,608","29,034","95,221",0,"163,863",0,488,336,329,336,331,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,6/11/2024,HB19S,CCA (Comm Choice Aggregation),"$4,151.90",29,$0.03,"$3,989.66","$19,878.73",$162.24,"$24,030.63","33,131","9,762","76,736","21,451","141,081",0,449,314,308,314,311,289
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,5/13/2024,HB19S,CCA (Comm Choice Aggregation),-$6.72,29,$0.00,-$160.15,"$14,327.14",$153.43,"$14,320.42","31,263",0,"68,262","33,895","133,420",0,469,284,268,0,271,284
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,4/14/2024,HB19S,CCA (Comm Choice Aggregation),$378.81,32,$0.00,$238.66,"$13,146.82",$140.15,"$13,525.63","29,922",0,"59,634","32,312","121,869",0,427,286,274,0,286,276
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,3/13/2024,HB19S,CCA (Comm Choice Aggregation),$885.05,30,$0.01,$763.51,"$12,418.31",$121.54,"$13,303.36","25,052",0,"67,995","12,647","105,694",0,428,247,238,0,247,246
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,2/12/2024,HB19S,CCA (Comm Choice Aggregation),"$2,083.95",32,$0.02,"$1,964.14","$13,111.63",$119.81,"$15,195.58","23,729",0,"80,454",0,"104,183",0,381,274,242,0,274,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,1/11/2024,HB19S,CCA (Comm Choice Aggregation),"$1,221.27",30,$0.01,"$1,112.76","$12,011.32",$108.51,"$13,232.59","22,905",0,"76,532",0,"99,437",0,408,244,239,0,244,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,12/12/2023,HB19S,CCA (Comm Choice Aggregation),"$1,418.30",30,$0.01,"$1,306.14","$12,455.50",$112.16,"$13,873.80","24,830",0,"80,977",0,"105,807",0,408,259,248,0,259,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,11/12/2023,HB19S,CCA (Comm Choice Aggregation),"$1,053.27",31,$0.01,$916.80,"$15,208.80",$136.47,"$16,262.07","32,225",0,"96,517",0,"128,742",0,436,295,288,0,295,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,10/12/2023,HB19S,CCA (Comm Choice Aggregation),"$4,740.68",30,$0.03,"$4,590.24","$21,526.43",$150.44,"$26,267.11","35,316","15,373","91,243",0,"141,932",0,464,306,304,294,306,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,9/12/2023,HB19S,CCA (Comm Choice Aggregation),"$7,353.24",30,$0.05,"$7,192.23","$26,146.54",$161.01,"$33,499.78","36,883","27,117","87,896",0,"151,896",0,441,344,308,344,308,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,8/13/2023,HB19S,CCA (Comm Choice Aggregation),"$6,479.69",31,$0.04,"$6,312.26","$26,726.77",$167.43,"$33,206.46","38,356","27,897","91,703",0,"157,956",0,504,313,306,302,313,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,7/13/2023,HB19S,CCA (Comm Choice Aggregation),"$6,228.97",31,$0.04,"$6,078.74","$24,668.01",$150.23,"$30,896.98","35,559","25,361","80,809",0,"141,729",0,458,310,299,310,293,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2023,6/12/2023,HB19S,CCA (Comm Choice Aggregation),"$2,104.13",29,$0.02,"$1,967.09","$16,913.62",$137.04,"$19,017.75","30,867","9,240","69,597","19,583","129,287",0,457,283,283,264,283,271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
