Model Name,Manufacturer,Capacity (kWh),Power (kW),C-Rate,Efficiency (%),Warranty (Years),Price 1-10,Price 11-20,Price 21-50,Price 50+,Active
HBESS150,HBE,150,75,0.50,90,10,85000,82000,79000,76000,Yes
HBESS225C,HBE,225,100,0.44,92,10,56800,54900,52950,51060,Yes
HBESS225I,HBE,225,100,0.44,92,10,67700,65400,63200,60900,Yes
HBESS300,HBE,300,150,0.50,92,10,165000,158000,152000,145000,Yes
HBESS337C,HBE,337.5,150,0.44,92,10,125000,120000,115000,110000,Yes
HBESS450C,HBE,450,200,0.44,92,15,93950,90810,87685,84550,Yes
HBESS450I,HBE,450,200,0.44,93,10,107000,103400,99800,96210,Yes
HBESS675C,HBE,675,300,0.44,93,12,225000,215000,205000,195000,Yes
HBPES060,HBE,60,40,0.67,90,10,15000,14400,13870,13375,Yes
HBPES110,HBE,112.5,62,0.55,90,10,23375,22598,21820,21028,Yes
HBPES150,HBE,150,75,0.50,90,10,62000,59000,56000,53000,Yes
HBPES160,HBE,160,90,0.56,90,10,32334,31264,30181,29099,Yes
HBPES225,HBE,225,100,0.44,90,10,43445,42000,40556,39112,Yes
HBPES300,HBE,300,150,0.50,91,10,118000,113000,108000,103000,Yes
POSH Station 207,POSH Energy,207,60,0.29,90,10,180000,175000,170000,165000,Yes